respondent_id,age_group,occupation,visit_frequency,primary_payment,aware_endofday_discounts,purchased_endofday_food,discount_motivation,would_use_surplus_app,survey_channel,branch
1,18-24,Student,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
2,18-24,Student,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
3,18-24,Student,2-3_times_month,VietQR,No,No,60%_or_more,Yes_definitely,In_person,Cau_Giay
4,18-24,Student,2-3_times_month,Cash,No,No,40-59%,Yes_definitely,Online,Online
5,18-24,Student,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
6,18-24,Student,2-3_times_month,VietQR,No,No,60%_or_more,Probably_not,Online,Online
7,18-24,Student,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
8,18-24,Student,Weekly_or_more,VietQR,No,No,20-39%,Yes_definitely,In_person,Cau_Giay
9,18-24,Student,Weekly_or_more,Momo,No,Yes,40-59%,Yes_definitely,In_person,Cau_Giay
10,18-24,Student,2-3_times_month,VietQR,No,No,60%_or_more,Probably_not,In_person,Hoan_Kiem
11,18-24,Student,Less_than_monthly,VietQR,No,No,40-59%,Yes_definitely,Online,Online
12,18-24,Student,Weekly_or_more,Momo,No,No,60%_or_more,Yes_definitely,In_person,Cau_Giay
13,18-24,Student,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
14,18-24,Student,Weekly_or_more,VietQR,Yes,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
15,18-24,Student,Once_a_month,VietQR,No,No,60%_or_more,Probably_not,Online,Online
16,18-24,Student,2-3_times_month,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
17,18-24,Student,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
18,18-24,Student,Less_than_monthly,VietQR,No,No,20-39%,Probably_not,Online,Online
19,18-24,Student,2-3_times_month,Momo,No,No,60%_or_more,Yes_definitely,In_person,Cau_Giay
20,18-24,Student,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
21,18-24,Student,Once_a_month,Cash,No,No,40-59%,Probably_not,Online,Online
22,18-24,Student,Weekly_or_more,Momo,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
23,18-24,Student,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
24,18-24,Student,2-3_times_month,VietQR,No,No,60%_or_more,Yes_definitely,Online,Online
25,18-24,Student,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
26,18-24,Employed_full_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
27,18-24,Employed_full_time,2-3_times_month,VietQR,No,No,20-39%,Probably_not,In_person,Hoan_Kiem
28,18-24,Employed_full_time,Weekly_or_more,Card,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
29,18-24,Employed_full_time,2-3_times_month,VietQR,Yes,No,20-39%,Yes_definitely,In_person,Cau_Giay
30,18-24,Employed_full_time,Once_a_month,Momo,No,No,60%_or_more,Probably_not,Online,Online
31,18-24,Employed_full_time,Less_than_monthly,Cash,No,No,20-39%,Probably_not,Online,Online
32,18-24,Employed_full_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
33,18-24,Employed_part_time,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
34,18-24,Employed_full_time,Weekly_or_more,VietQR,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
35,18-24,Self_employed,2-3_times_month,Momo,No,No,60%_or_more,Probably_not,In_person,Cau_Giay
36,18-24,Employed_full_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
37,18-24,Other,Less_than_monthly,Cash,No,No,Would_not_go,Probably_not,Online,Online
38,18-24,Employed_full_time,2-3_times_month,VietQR,No,No,40-59%,Probably_not,In_person,Cau_Giay
39,18-24,Employed_part_time,Once_a_month,VietQR,No,No,20-39%,No,Online,Online
40,18-24,Student,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
41,18-24,Student,2-3_times_month,Cash,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
42,18-24,Student,Weekly_or_more,VietQR,Yes,No,40-59%,Yes_definitely,In_person,Cau_Giay
43,18-24,Employed_full_time,Once_a_month,Card,No,No,Under_20%,Probably_not,Online,Online
44,18-24,Self_employed,2-3_times_month,Momo,No,No,40-59%,Yes_definitely,Online,Online
45,25-34,Employed_full_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
46,25-34,Employed_full_time,2-3_times_month,VietQR,No,No,20-39%,Probably_not,In_person,Hoan_Kiem
47,25-34,Employed_full_time,Weekly_or_more,Card,Yes,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
48,25-34,Employed_full_time,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
49,25-34,Employed_full_time,Once_a_month,Momo,No,No,20-39%,Probably_not,In_person,Cau_Giay
50,25-34,Employed_full_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
51,25-34,Employed_full_time,2-3_times_month,VietQR,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
52,25-34,Employed_full_time,Weekly_or_more,Momo,Yes,Yes,40-59%,Yes_definitely,In_person,Hoan_Kiem
53,25-34,Employed_full_time,2-3_times_month,VietQR,No,No,60%_or_more,Probably_not,Online,Online
54,25-34,Student,Once_a_month,Cash,No,No,40-59%,Probably_not,Online,Online
55,25-34,Employed_full_time,Less_than_monthly,VietQR,No,No,20-39%,Probably_not,Online,Online
56,25-34,Employed_full_time,Weekly_or_more,Momo,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
57,25-34,Student,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
58,25-34,Employed_full_time,Weekly_or_more,VietQR,Yes,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
59,25-34,Self_employed,2-3_times_month,Momo,No,No,60%_or_more,Probably_not,Online,Online
60,25-34,Employed_full_time,Once_a_month,VietQR,No,No,40-59%,Probably_not,In_person,Hoan_Kiem
61,25-34,Employed_part_time,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
62,25-34,Employed_full_time,Weekly_or_more,VietQR,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
